source_task,source_row_id,current_status,evidence_freshness,phone_applicability,owner_task,allowed_terminal_status,release_effect,note
TASK-045,phone-coverage-001,blocked_by_external_state,historical_not_fresh,phone_required,TASK-058,covered_or_release_blocking_blocked_star,blocks_phone_release,installed_newer_observation_not_fresh_first_launch
TASK-045,phone-coverage-002,blocked_by_external_state,historical_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,catalog_initial
TASK-045,phone-coverage-003,blocked_by_external_state,historical_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,catalog_later_segment
TASK-045,phone-coverage-004,blocked_by_external_state,historical_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,filter_expanded
TASK-045,phone-coverage-005,blocked_by_external_state,historical_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,filter_collapsed
TASK-045,phone-coverage-006,blocked_by_boundary,historical_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,keyboard_consent_overlay
TASK-045,phone-coverage-007,blocked_by_external_state,historical_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,history_initial
TASK-045,phone-coverage-008,blocked_by_external_state,historical_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,history_later_segment
TASK-045,phone-coverage-009,blocked_by_boundary,historical_not_fresh,phone_required,TASK-059,covered_or_release_blocking_blocked_star,blocks_phone_release,account_navigation_no_mutation
TASK-045,phone-coverage-010,blocked_by_boundary,historical_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,game_detail_no_session_start
TASK-045,phone-coverage-011,blocked_by_boundary,historical_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,promo_detail_no_external_traversal
TASK-045,phone-coverage-012,blocked_by_boundary,historical_not_fresh,phone_required,TASK-062,covered_or_release_blocking_blocked_star,blocks_phone_release,preconnection_gamepad_boundary
TASK-045,phone-coverage-013,blocked_by_external_state,historical_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,no_tv_negative_phone_state
TASK-045,phone-coverage-014,blocked_by_external_state,historical_not_fresh,phone_required,TASK-061,covered_or_release_blocking_blocked_star,blocks_phone_release,background_foreground
TASK-045,phone-coverage-015,blocked_by_tooling,historical_not_fresh,phone_required,TASK-061,covered_or_release_blocking_blocked_star,blocks_phone_release,force_stop_relaunch
TASK-045,phone-coverage-016,covered,historical_not_fresh,phone_required,TASK-061,covered_or_release_blocking_blocked_star,blocks_phone_release_until_fresh,cleanup_must_be_reperformed
TASK-045,phone-coverage-017,blocked_by_external_state,historical_not_fresh,phone_required,TASK-058,covered_or_release_blocking_blocked_star,blocks_phone_release,auth_guard
TASK-045,phone-coverage-018,blocked_by_external_state,historical_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,catalog_recurrence
TASK-045,phone-coverage-019,blocked_by_external_state,historical_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,partial_render_overlay
TASK-045,phone-coverage-020,covered,historical_not_fresh,phone_required,TASK-062,covered_or_release_blocking_blocked_star,blocks_phone_release_until_fresh,system_consent_boundary_must_be_reobserved
TASK-045,phone-coverage-021,blocked_by_external_state,historical_not_fresh,paired_tv_only_deferred,TASK-045,blocked_by_external_state,retains_paired_release_block,phone_never_substitutes_tv
TASK-045,phone-coverage-022,not_run_out_of_scope,historical_not_fresh,non_phone_network_deferred,TASK-051,not_run_out_of_scope,no_phone_release_effect_retains_cross_family_block,owner_policy_forbids_network_shaping
TASK-045,phone-coverage-023,not_run_out_of_scope,historical_not_fresh,non_phone_paired_deferred,TASK-045,not_run_out_of_scope,no_phone_release_effect_retains_paired_block,paired_lock_unlock_not_phone_program
TASK-045,phone-coverage-024,blocked_by_external_state,historical_not_fresh,paired_tv_only_deferred,TASK-045,blocked_by_external_state,retains_paired_release_block,missing_tv
TASK-045,phone-coverage-025,blocked_by_boundary,historical_not_fresh,phone_required,TASK-062,covered_or_release_blocking_blocked_star,blocks_phone_release,payment_or_session_boundary
TASK-045,phone-coverage-026,not_run_out_of_scope,historical_not_fresh,phone_conditional_if_discovered,TASK-062,not_run_out_of_scope_until_approved_or_discovered,no_phone_release_effect_until_discovered,append_new_required_row_if_visible
TASK-045A,A001,blocked_by_tooling,audit_only_never_fresh,audit_preservation,TASK-063,blocked_by_tooling,no_product_coverage_and_no_pass,static_audit_preservation_cp001_incomplete
TASK-045A,A002,blocked_by_external_state,static_not_fresh,phone_required,TASK-058,covered_or_release_blocking_blocked_star,blocks_phone_release,cold_launch_auth_guard
TASK-045A,A003,blocked_by_external_state,static_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,catalog_initial
TASK-045A,A004,blocked_by_external_state,static_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,catalog_long_list
TASK-045A,A005,blocked_by_external_state,static_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,menu_states
TASK-045A,A006,blocked_by_external_state,static_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,search_overlay_recovery
TASK-045A,A007,blocked_by_external_state,static_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,history_long_list
TASK-045A,A008,blocked_by_external_state,static_not_fresh,phone_required,TASK-059,covered_or_release_blocking_blocked_star,blocks_phone_release,profile_settings_help_legal
TASK-045A,A009,blocked_by_external_state,static_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,game_detail
TASK-045A,A010,blocked_by_external_state,static_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,promo_detail
TASK-045A,A011,blocked_by_external_state,static_not_fresh,phone_required,TASK-060,covered_or_release_blocking_blocked_star,blocks_phone_release,no_tv_connection_phone_state
TASK-045A,A012,blocked_by_external_state,static_not_fresh,phone_required,TASK-062,covered_or_release_blocking_blocked_star,blocks_phone_release,preconnection_gamepad_boundary
TASK-045A,A013,blocked_by_external_state,static_not_fresh,phone_required,TASK-061,covered_or_release_blocking_blocked_star,blocks_phone_release,background_foreground
TASK-045A,A014,blocked_by_external_state,static_not_fresh,phone_required,TASK-061,covered_or_release_blocking_blocked_star,blocks_phone_release,force_stop_relaunch
TASK-045A,A015,blocked_by_external_state,static_not_fresh,phone_required,TASK-062,covered_or_release_blocking_blocked_star,blocks_phone_release,payment_qr_external_boundary_requires_fresh_coverage
TASK-045A,A016,blocked_by_external_state,static_not_fresh,paired_tv_only_deferred,TASK-045,blocked_by_external_state,retains_paired_release_block,phone_never_substitutes_tv
TASK-045A,A017,blocked_by_external_state,static_not_fresh,phone_required,TASK-063,covered_or_release_blocking_blocked_star,blocks_phone_release,cleanup_and_graph_closure
