task_id,report_alias,schema_status,authority_status,freshness_status,reuse_status,reason_code
TASK-019,none,missing,non_authoritative,unknown,not_available,manifest_record_missing
TASK-020,task020_full_invalid_phone_negative.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-020,task020_full_screen_inventory.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-020,task020_invalid_phone_negative.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-020,task020_post_auth_navigation_transition.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-021,task021_network_offline_probe.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-022,task022_xbox_gamepad_full_screen_inventory.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-023,task023_full_data_screen_inventory.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-024,task024_native_post_auth_regression.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-025,task025_selected_lane_native_regression.summary.template,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-025,task025b_selected_lane_physical_runtime.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-026,task026b_task025b_physical_runtime_tests.summary.template,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-027,task027_full_app_transition_graph_physical_runtime.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-027,task027s_visual_destination_screen_coverage.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-027,task027t_continue_visual_destination_screen_coverage.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-028,task028_api_layer_contract_coverage.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-029,task029_rest_schema_fixture_contracts.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-030,task030_rest_negative_cache_sequences.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-031,task031_stomp_protocol_contracts.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-032,task032_datachannel_gamepad_contracts.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-033,task033_api_redaction_prod_safety_guards.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-034,none,missing,non_authoritative,unknown,not_available,manifest_record_missing
TASK-035,task035_static_text_inventory.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-036,task036_api_layer_exhaustive_coverage.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-037,task037_production_api_runtime_exploratory.summary,legacy_migration_blocked,legacy_not_authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-038,none,missing,non_authoritative,unknown,not_available,manifest_record_missing
TASK-039,task039_release_readiness.summary,v2_valid,authoritative,stale_build_compatibility_unproven,historical_context_only,prior_evidence_not_current_release_authority
TASK-040,none,missing,non_authoritative,unknown,not_available,manifest_record_missing
