scenario_id,priority,surface_ids,lane,selection_status,evidence_status,reason_code
QA-044-001,P0,SURF-INSTALL-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-002,P0,SURF-START-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-003,P0,SURF-START-002,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-004,P0,SURF-START-001;SURF-CATALOG-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-005,P0,SURF-AUTH-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-006,P0,SURF-AUTH-002;SURF-PERSIST-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-007,P0,SURF-AUTH-002;SURF-PERSIST-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-008,P0,SURF-CATALOG-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-009,P0,SURF-CATALOG-002,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-010,P0,SURF-FOCUS-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-011,P0,SURF-FOCUS-002,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-012,P0,SURF-SEARCH-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-013,P0,SURF-SEARCH-001;SURF-ROUTE-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-014,P0,SURF-SEARCH-002,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-015,P0,SURF-SEARCH-002,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-016,P0,SURF-SETTINGS-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-017,P0,SURF-SETTINGS-002;SURF-INPUT-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-018,P0,SURF-SETTINGS-002,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-019,P0,SURF-DETAIL-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-020,P0,SURF-DETAIL-002,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-021,P0,SURF-BOUNDARY-001;SURF-STREAM-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-022,P1,SURF-BOUNDARY-002,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-023,P0,SURF-NAV-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-024,P0,SURF-NAV-002,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-025,P0,SURF-PERSIST-002,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-026,P0,SURF-NAV-003;SURF-FOCUS-002,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-027,P1,SURF-ROUTE-002,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-028,P0,SURF-LOG-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-029,P0,SURF-PERF-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-030,P0,SURF-USABILITY-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-031,P1,SURF-START-002;SURF-PERSIST-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
QA-044-032,P0,SURF-RELEASE-001,tv-tpv-013,selected_not_run,hypothesis,task044_reference_lane_contract
