scenario_id,attempt_id,attempt_index,recovery_attempt,recovery_of_attempt_id,pre_state_alias,action_category,observed_state_alias,screen_alias,state_category,focus_category,recurrence_status,prior_screen_alias,risk_note_code,screenshot_present,ui_tree_present,visual_inspection_present,freshness_status,oracle_result,cleanup_status,dynamic_assertion_policy
QA-044-001,attempt-qa044-001-1,1,false,none,approved_intake,verify_reference_apk_intake,reference_apk_launchable,app_loader,intake,not_applicable,first_observation,none,bounded_reference_lane,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-002,attempt-qa044-002-1,1,false,none,force_stopped,cold_launch,loader_timeout,app_loader_timeout,startup,no_actionable_focus,first_observation,none,bounded_reference_lane,true,true,true,fresh,fail,pass,structure_and_category_only
QA-044-003,attempt-qa044-003-1,1,false,none,backgrounded_loader,warm_foreground,loader_recurrence,app_loader,startup,no_actionable_focus,recurrence,app_loader,bounded_reference_lane,true,true,true,fresh,fail,pass,structure_and_category_only
QA-044-004,attempt-qa044-004-1,1,false,none,launch_in_progress,bounded_loader_wait,non_actionable_timeout,app_loader_timeout,negative,no_actionable_focus,recurrence,app_loader,loader_not_catalog,true,true,true,fresh,fail,pass,structure_and_category_only
QA-044-005,attempt-qa044-005-1,1,false,none,synthetic_session_present,observe_existing_synthetic_session,post_auth_shell,actionable_catalog_sensitive_surface,auth,actionable_focus,first_observation,none,raw_dynamic_values_local_only,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-006,attempt-qa044-006-1,1,false,none,post_auth_catalog,home_foreground_session_restore,session_restored,actionable_catalog,session,restored_focus,recurrence,actionable_catalog,bounded_reference_lane,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-007,attempt-qa044-007-1,1,false,none,post_auth_catalog,force_stop_session_restore,session_outcome_observed,actionable_catalog,session,focus_classified,recurrence,actionable_catalog,bounded_reference_lane,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-008,attempt-qa044-008-1,1,false,none,approved_launch,catalog_actionability_probe,actionable_catalog,catalog_with_system_overlay,catalog,actionable_focus,first_observation,none,transient_overlay_present,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-009,attempt-qa044-009-1,1,false,none,catalog_grid,bounded_grid_traversal,loader_after_navigation,app_loader,catalog_transition,no_actionable_focus,recurrence,app_loader,navigation_to_loader,true,true,true,fresh,fail,pass,structure_and_category_only
QA-044-010,attempt-qa044-010-1,1,false,none,catalog_grid,grid_focus_acquisition,grid_focus_acquired,catalog_game_grid,focus,focus_visible,first_observation,none,bounded_reference_lane,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-011,attempt-qa044-011-1,1,false,none,non_actionable_loader,noop_focus_loss_compare,focus_outcome_classified,app_loader,negative,focus_classified,first_observation,none,noop_distinguished_from_focus_loss,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-012,attempt-qa044-012-1,1,false,none,catalog_ready,open_search_keyboard,search_keyboard_visible,search_keyboard_open,search,keyboard_focus,first_observation,none,bounded_reference_lane,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-013,attempt-qa044-013-1,1,false,none,search_keyboard_open,approved_unicode_input,query_input_tooling_failure,search_keyboard_open,search,query_not_entered,first_observation,none,unicode_input_tooling_gap,true,true,true,fresh,blocked,pass,structure_and_category_only
QA-044-014,attempt-qa044-014-1,1,false,none,search_keyboard_open,back_escape_sequence,keyboard_trap_recurrence,search_keyboard_trap,negative,search_surface_focus,recurrence,search_keyboard_trap,search_keyboard_trap,true,true,true,fresh,fail,pass,structure_and_category_only
QA-044-015,attempt-qa044-015-1,1,false,none,search_keyboard_open,search_back_failure,keyboard_trap_recurrence,search_keyboard_trap,negative,search_surface_focus,recurrence,search_keyboard_trap,search_keyboard_trap,true,true,true,fresh,fail,pass,structure_and_category_only
QA-044-015,attempt-qa044-015-2,2,true,attempt-qa044-015-1,search_keyboard_trap,force_stop_relaunch_recovery,catalog_restored,actionable_catalog_with_system_banner,recovery,games_nav_focus,recurrence,actionable_catalog,first_search_failure_retained,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-016,attempt-qa044-016-1,1,false,none,catalog_ready,open_settings_root,settings_root,settings_root,settings,settings_focus,first_observation,none,bounded_reference_lane,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-017,attempt-qa044-017-1,1,false,none,settings_root,select_gamepad_visual_focus,settings_no_navigation,settings_gamepad_select_noop,settings,gamepad_tile_focus,first_observation,none,visual_focus_select_noop,true,true,true,fresh,fail,pass,structure_and_category_only
QA-044-018,attempt-qa044-018-1,1,false,none,settings_gamepad_visual_focus,semantic_refocus_and_select,logout_confirmation,logout_confirmation_accidental_route,negative,cancel_focus_selected,first_observation,none,settings_logout_route,true,true,true,fresh,fail,pass,structure_and_category_only
