coverage_id,branch_alias,lane_scope,approved_scope,declared_reachable,discovered,requires_connected_pair,status,screen_alias,state_category,focus_action_category,evidence_status,evidence_count,reason_code
phone-coverage-001,phone-cold-launch-installed-newer,disconnected_independent,true,true,true,false,blocked_by_external_state,phone-cold-launch-installed-newer,observed,recorded_checkpoint,confirmed,1,synthetic_session_fixture_not_verified
phone-coverage-002,phone-catalog-initial,disconnected_independent,true,true,true,false,blocked_by_external_state,phone-catalog-initial,observed,recorded_checkpoint,confirmed,1,synthetic_session_fixture_not_verified
phone-coverage-003,phone-catalog-scroll-later-segment,disconnected_independent,true,true,true,false,blocked_by_external_state,phone-catalog-scroll-later-segment,observed,recorded_checkpoint,confirmed,1,synthetic_session_fixture_not_verified
phone-coverage-004,phone-catalog-filter-expanded,disconnected_independent,true,true,true,false,blocked_by_external_state,phone-catalog-filter-expanded,observed,recorded_checkpoint,confirmed,1,synthetic_session_fixture_not_verified
phone-coverage-005,phone-catalog-filter-collapsed,disconnected_independent,true,true,true,false,blocked_by_external_state,phone-catalog-filter-collapsed,observed,recorded_checkpoint,confirmed,1,synthetic_session_fixture_not_verified
phone-coverage-006,phone-search-empty-focus,disconnected_independent,true,true,true,false,blocked_by_boundary,phone-search-empty-focus,observed,recorded_checkpoint,confirmed,2,external_keyboard_privacy_consent
phone-coverage-007,phone-history-initial,disconnected_independent,true,true,true,false,blocked_by_external_state,phone-history-initial,observed,recorded_checkpoint,confirmed,1,synthetic_session_fixture_not_verified
phone-coverage-008,phone-history-scroll-later-segment,disconnected_independent,true,true,true,false,blocked_by_external_state,phone-history-scroll-later-segment,observed,recorded_checkpoint,confirmed,1,synthetic_session_fixture_not_verified
phone-coverage-009,phone-profile-settings-help-legal,disconnected_independent,true,true,true,false,blocked_by_boundary,phone-profile-settings-help-legal,observed,recorded_checkpoint,confirmed,1,existing_session_identity_not_proven_synthetic
phone-coverage-010,phone-game-card-detail,disconnected_independent,true,true,true,false,blocked_by_boundary,phone-game-card-detail,observed,recorded_checkpoint,confirmed,1,payment_or_session_start_boundary
phone-coverage-011,phone-promo-detail,disconnected_independent,true,true,true,false,blocked_by_boundary,phone-promo-detail,observed,recorded_checkpoint,confirmed,1,external_or_session_boundary
phone-coverage-012,phone-gamepad-before-connection,disconnected_independent,true,true,true,false,blocked_by_boundary,phone-gamepad-before-connection,observed,recorded_checkpoint,confirmed,1,no_safe_route_without_game_session
phone-coverage-013,phone-no-tv-negative,disconnected_independent,true,true,true,false,blocked_by_external_state,phone-no-tv-negative,observed,recorded_checkpoint,confirmed,2,connection_surface_not_exposed
phone-coverage-014,phone-background-foreground-disconnected,disconnected_independent,true,true,true,false,blocked_by_external_state,phone-background-foreground-disconnected,observed,recorded_checkpoint,confirmed,3,synthetic_session_fixture_not_verified
phone-coverage-015,phone-force-stop-relaunch-disconnected,disconnected_independent,true,true,true,false,blocked_by_tooling,phone-force-stop-relaunch-disconnected,observed,recorded_checkpoint,confirmed,2,force_stop_log_helper_gap_relaunch_observed
phone-coverage-016,phone-final-cleanup,disconnected_independent,true,true,true,false,covered,phone-final-cleanup,observed,recorded_checkpoint,confirmed,2,force_stopped_home_restored
phone-coverage-017,phone-auth-guard,disconnected_independent,true,true,true,false,blocked_by_external_state,phone-auth-guard,observed,recorded_checkpoint,confirmed,1,existing_session_preserved_no_logout
phone-coverage-018,phone-catalog-recurrence,disconnected_independent,true,true,true,false,blocked_by_external_state,phone-catalog-recurrence,observed,recorded_checkpoint,confirmed,1,synthetic_session_fixture_not_verified
phone-coverage-019,phone-partial-render-overlay,disconnected_independent,true,true,true,false,blocked_by_external_state,phone-partial-render-overlay,observed,recorded_checkpoint,confirmed,4,synthetic_session_fixture_not_verified
phone-coverage-020,phone-external-keyboard-consent-overlay,disconnected_independent,true,true,true,false,covered,phone-external-keyboard-consent-overlay,observed,recorded_checkpoint,confirmed,2,system_surface_recorded_no_consent
phone-coverage-021,phone-connected-gamepad,paired_required,true,false,false,true,blocked_by_external_state,phone-connected-gamepad,blocked_or_out_of_scope,not_observed,confirmed,0,paired_tv_unavailable
phone-coverage-022,phone-network-reconnect,paired_required,false,false,false,true,not_run_out_of_scope,phone-network-reconnect,blocked_or_out_of_scope,not_observed,confirmed,0,paired_oracle_required_zero_network_budget
phone-coverage-023,phone-lock-unlock,paired_required,false,false,false,true,not_run_out_of_scope,phone-lock-unlock,blocked_or_out_of_scope,not_observed,confirmed,0,connected_precondition_and_safe_unlock_not_met
phone-coverage-024,phone-paired-disconnect,paired_required,true,false,false,true,blocked_by_external_state,phone-paired-disconnect,blocked_or_out_of_scope,not_observed,confirmed,0,paired_tv_unavailable
phone-coverage-025,phone-payment-session-boundary,disconnected_independent,true,true,true,false,blocked_by_boundary,phone-payment-session-boundary,observed,recorded_checkpoint,confirmed,1,no_payment_or_session_start
phone-coverage-026,phone-qr-browser-boundary,disconnected_independent,false,false,false,false,not_run_out_of_scope,phone-qr-browser-boundary,blocked_or_out_of_scope,not_observed,confirmed,0,no_visible_qr_and_no_external_traversal
