branch_id,scenario_id,coverage_scope,approved_scope,declared_reachable,status,screen_node_count,transition_count,evidence_status,evidence_count,evidence_ids,reason_code
branch-001,A001,audit,true,true,blocked_by_tooling,1,1,confirmed,2,audit-task045-quarantine-category-summary;audit-task045-cp001-incomplete,quarantined_audit_cp001_incomplete
branch-002,A002,phone_independent,true,true,blocked_by_external_state,1,1,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
branch-003,A003,phone_independent,true,true,blocked_by_external_state,1,1,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
branch-004,A004,phone_independent,true,true,blocked_by_external_state,1,1,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
branch-005,A005,phone_independent,true,true,blocked_by_external_state,1,1,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
branch-006,A006,phone_independent,true,true,blocked_by_external_state,1,1,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
branch-007,A007,phone_independent,true,true,blocked_by_external_state,1,1,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
branch-008,A008,phone_independent,true,true,blocked_by_external_state,1,1,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
branch-009,A009,phone_independent,true,true,blocked_by_external_state,1,1,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
branch-010,A010,phone_independent,true,true,blocked_by_external_state,1,1,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
branch-011,A011,phone_independent,true,true,blocked_by_external_state,1,1,confirmed,1,static-security-block-runtime,security_runtime_gate_blocked
branch-012,A012,phone_independent,true,true,blocked_by_external_state,1,1,confirmed,1,static-security-block-runtime,security_runtime_gate_blocked
branch-013,A013,phone_independent,true,true,blocked_by_external_state,1,1,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
branch-014,A014,phone_independent,true,true,blocked_by_external_state,1,1,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
branch-015,A015,phone_independent,true,false,blocked_by_external_state,1,1,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
branch-016,A016,external_blocker,true,false,blocked_by_external_state,1,1,confirmed,1,static-missing-tv,missing_tv_no_paired_evidence
branch-017,A017,phone_independent,true,true,blocked_by_external_state,1,1,confirmed,2,static-security-block-runtime;static-cleanup-not-run,runtime_blocked_cleanup_not_run
