scenario_id,priority,branch_alias,session_scope,requires_tv,status,evidence_status,evidence_count,evidence_ids,reason_code
A001,P0,prior-audit-quarantine,session_independent,false,blocked_by_tooling,confirmed,2,audit-task045-quarantine-category-summary;audit-task045-cp001-incomplete,quarantined_audit_cp001_incomplete
A002,P0,cold-launch-auth-guard,session_dependent,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
A003,P0,catalog-initial,session_dependent,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
A004,P0,catalog-long-list,session_dependent,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
A005,P0,catalog-menu-states,session_dependent,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
A006,P0,search-overlay-recovery,session_dependent,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
A007,P0,history-long-list,session_dependent,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
A008,P0,profile-settings-help-legal,session_dependent,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
A009,P0,game-detail,session_dependent,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
A010,P0,promo-detail,session_dependent,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
A011,P0,no-tv-connection-state,session_independent,false,blocked_by_external_state,confirmed,1,static-security-block-runtime,security_runtime_gate_blocked
A012,P0,preconnection-gamepad,session_independent,false,blocked_by_external_state,confirmed,1,static-security-block-runtime,security_runtime_gate_blocked
A013,P0,background-foreground-recurrence,session_dependent,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
A014,P0,force-stop-relaunch,session_dependent,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
A015,P0,payment-qr-external-boundaries,session_dependent,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,active_session_provenance_unknown
A016,P0,paired-tv-only,paired_only,true,blocked_by_external_state,confirmed,1,static-missing-tv,missing_tv_no_paired_evidence
A017,P0,cleanup-and-closure,session_independent,false,blocked_by_external_state,confirmed,2,static-security-block-runtime;static-cleanup-not-run,runtime_blocked_cleanup_not_run
