node_id,scenario_id,screen_alias,state_alias,state_category,session_scope,surface_side,observed,evidence_origin,audit_only,counts_as_product_coverage,status,evidence_status,evidence_count,evidence_ids,screenshot_present,visual_inspection,ui_tree_present,runner_log_present,recurrence_status,prior_node_id,long_list_segment,menu_state,overlay_category,xml_visual_match,reason_code
node-a001-blocked,A001,prior_audit,prior-audit-quarantine-blocked,audit_quarantine,session_independent,audit,true,quarantined_task045_audit,true,false,blocked_by_tooling,confirmed,2,audit-task045-quarantine-category-summary;audit-task045-cp001-incomplete,false,false,false,false,first_observation,none,none,none,unknown,not_compared,quarantined_audit_cp001_incomplete
node-a002-blocked,A002,launch_auth,cold-launch-auth-guard-blocked,not_observed_runtime_blocked,session_dependent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,false,false,false,false,not_observed,none,none,none,none,not_compared,active_session_provenance_unknown
node-a003-blocked,A003,catalog,catalog-initial-blocked,not_observed_runtime_blocked,session_dependent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,false,false,false,false,not_observed,none,none,none,none,not_compared,active_session_provenance_unknown
node-a004-blocked,A004,catalog,catalog-long-list-blocked,not_observed_runtime_blocked,session_dependent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,false,false,false,false,not_observed,none,none,none,none,not_compared,active_session_provenance_unknown
node-a005-blocked,A005,catalog_menu,catalog-menu-states-blocked,not_observed_runtime_blocked,session_dependent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,false,false,false,false,not_observed,none,none,none,none,not_compared,active_session_provenance_unknown
node-a006-blocked,A006,search,search-overlay-recovery-blocked,not_observed_runtime_blocked,session_dependent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,false,false,false,false,not_observed,none,none,none,none,not_compared,active_session_provenance_unknown
node-a007-blocked,A007,history,history-long-list-blocked,not_observed_runtime_blocked,session_dependent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,false,false,false,false,not_observed,none,none,none,none,not_compared,active_session_provenance_unknown
node-a008-blocked,A008,account_navigation,profile-settings-help-legal-blocked,not_observed_runtime_blocked,session_dependent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,false,false,false,false,not_observed,none,none,none,none,not_compared,active_session_provenance_unknown
node-a009-blocked,A009,game_detail,game-detail-blocked,not_observed_runtime_blocked,session_dependent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,false,false,false,false,not_observed,none,none,none,none,not_compared,active_session_provenance_unknown
node-a010-blocked,A010,promo_detail,promo-detail-blocked,not_observed_runtime_blocked,session_dependent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,false,false,false,false,not_observed,none,none,none,none,not_compared,active_session_provenance_unknown
node-a011-blocked,A011,connection,no-tv-connection-state-blocked,not_observed_runtime_blocked,session_independent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-security-block-runtime,false,false,false,false,not_observed,none,none,none,none,not_compared,security_runtime_gate_blocked
node-a012-blocked,A012,virtual_gamepad,preconnection-gamepad-blocked,not_observed_runtime_blocked,session_independent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-security-block-runtime,false,false,false,false,not_observed,none,none,none,none,not_compared,security_runtime_gate_blocked
node-a013-blocked,A013,lifecycle,background-foreground-recurrence-blocked,not_observed_runtime_blocked,session_dependent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,false,false,false,false,not_observed,none,none,none,none,not_compared,active_session_provenance_unknown
node-a014-blocked,A014,lifecycle,force-stop-relaunch-blocked,not_observed_runtime_blocked,session_dependent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,false,false,false,false,not_observed,none,none,none,none,not_compared,active_session_provenance_unknown
node-a015-blocked,A015,boundary,payment-qr-external-boundaries-blocked,not_observed_runtime_blocked,session_dependent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,false,false,false,false,not_observed,none,none,none,none,not_compared,active_session_provenance_unknown
node-a016-blocked,A016,paired,paired-tv-only-blocked,not_observed_runtime_blocked,paired_only,external_blocker,false,static_blocker,false,false,blocked_by_external_state,confirmed,1,static-missing-tv,false,false,false,false,not_observed,none,none,none,none,not_compared,missing_tv_no_paired_evidence
node-a017-blocked,A017,cleanup,cleanup-and-closure-blocked,not_observed_runtime_blocked,session_independent,phone,false,static_blocker,false,false,blocked_by_external_state,confirmed,2,static-security-block-runtime;static-cleanup-not-run,false,false,false,false,not_observed,none,none,none,none,not_compared,runtime_blocked_cleanup_not_run
