transition_id,scenario_id,from_node_id,to_node_id,action_category,session_scope,edge_scope,requires_tv,attempt_index,recovery_attempt,recovery_of_transition_id,status,evidence_status,evidence_count,evidence_ids,first_failure_retained,boundary_id,anomaly_id,reason_code
transition-a001-blocked,A001,node-a001-blocked,node-a001-blocked,quarantine_ingest,session_independent,audit,false,0,false,none,blocked_by_tooling,confirmed,2,audit-task045-quarantine-category-summary;audit-task045-cp001-incomplete,true,none,TASK045A-PROCESS-001,quarantined_audit_cp001_incomplete
transition-a002-blocked,A002,node-a002-blocked,node-a002-blocked,cold_launch_to_auth_guard,session_dependent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,true,none,none,active_session_provenance_unknown
transition-a003-blocked,A003,node-a003-blocked,node-a003-blocked,catalog_initial_observation,session_dependent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,true,none,none,active_session_provenance_unknown
transition-a004-blocked,A004,node-a004-blocked,node-a004-blocked,catalog_initial_to_later_segment,session_dependent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,true,none,none,active_session_provenance_unknown
transition-a005-blocked,A005,node-a005-blocked,node-a005-blocked,menu_expand_collapse,session_dependent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,true,none,none,active_session_provenance_unknown
transition-a006-blocked,A006,node-a006-blocked,node-a006-blocked,search_focus_overlay_recovery,session_dependent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,true,none,none,active_session_provenance_unknown
transition-a007-blocked,A007,node-a007-blocked,node-a007-blocked,history_initial_to_later_segment,session_dependent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,true,none,none,active_session_provenance_unknown
transition-a008-blocked,A008,node-a008-blocked,node-a008-blocked,profile_settings_help_legal,session_dependent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,true,none,none,active_session_provenance_unknown
transition-a009-blocked,A009,node-a009-blocked,node-a009-blocked,catalog_to_game_detail,session_dependent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,true,none,none,active_session_provenance_unknown
transition-a010-blocked,A010,node-a010-blocked,node-a010-blocked,catalog_to_promo_detail,session_dependent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,true,none,none,active_session_provenance_unknown
transition-a011-blocked,A011,node-a011-blocked,node-a011-blocked,launch_to_no_tv_state,session_independent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,1,static-security-block-runtime,true,none,none,security_runtime_gate_blocked
transition-a012-blocked,A012,node-a012-blocked,node-a012-blocked,no_tv_to_gamepad_guard,session_independent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,1,static-security-block-runtime,true,none,none,security_runtime_gate_blocked
transition-a013-blocked,A013,node-a013-blocked,node-a013-blocked,background_foreground_recurrence,session_dependent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,true,none,none,active_session_provenance_unknown
transition-a014-blocked,A014,node-a014-blocked,node-a014-blocked,force_stop_relaunch,session_dependent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,true,none,none,active_session_provenance_unknown
transition-a015-blocked,A015,node-a015-blocked,node-a015-blocked,boundary_classify_and_recover,session_dependent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,1,static-session-provenance-unknown,true,boundary-payment-session,none,active_session_provenance_unknown
transition-a016-blocked,A016,node-a016-blocked,node-a016-blocked,phone_tv_pairing,paired_only,external_blocker,true,0,false,none,blocked_by_external_state,confirmed,1,static-missing-tv,true,none,none,missing_tv_no_paired_evidence
transition-a017-blocked,A017,node-a017-blocked,node-a017-blocked,final_cleanup_and_graph_closure,session_independent,phone_independent,false,0,false,none,blocked_by_external_state,confirmed,2,static-security-block-runtime;static-cleanup-not-run,true,none,none,runtime_blocked_cleanup_not_run
